Nombre del Producto;Lote;Proveedor;Clases de Peligro SGA PRINCIPAL;Palabra de Señal;Explosivo;Inflamable;Comburente;Gas Bajo Presión;Corrosivo;Toxicidad Aguda;Irritante;Toxicidad Crónica;Tóxico para Medio Ambiente;Peso Total del Bulk (gramos);Fecha Manufactura;Fecha Vencimiento;Línea de Mercado
HEWETEN 200;46200182546;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;30/11/2018;30/11/2023;FARMA
HEWETEN 200;26200240301;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;04/04/2025;01/01/2029;FARMA
HEWETEN 200;26200240818;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;4500;01/05/2024;01/05/2029;FARMA
HYALUROSMOOTH LS 8998;26930654;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;30;09/02/2023;08/02/2025;COSMETICA
HYALUROSMOOTH LS 8998;27856923;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;30;20/12/2023;19/12/2025;COSMETICA
HYDAGEN AQUAPORIN;28059566;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;450;13/11/2024;12/11/2026;COSMETICA
HYDRASENSYL GLUCAN GREEN;28980662;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;480;08/12/2024;01/03/2026;COSMETICA
HYDRASENSYL GLUCAN GREEN;28865268;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;60;10/11/2024;04/05/2026;COSMETICA
JORDAPON SCI POWDER;PAC2411572;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;500;13/12/2022;13/12/2024;COSMETICA
KERASYLIUM BC 10195;28366724;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;10;07/06/2024;07/06/2026;COSMETICA
KOLLICOAT MAE 30 DP;17514675L0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;26/05/2024;26/05/2026;FARMA
KOLLICOAT MAE 30 DP;88073216K0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;01/09/2024;01/09/2026;FARMA
KOLLICOAT PROTECT;54414636W0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;08/06/2022;08/06/2025;FARMA
KOLLICOAT SMARTSEAL 30D;08005647G0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;21/04/2022;07/01/2024;FARMA
KOLLICOAT SMARTSEAL 30D;10099275L0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;27/04/2022;06/01/2026;FARMA
KOLLICOAT SR 30 D;89514016K0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;25/01/2024;18/07/2025;FARMA
KOLLICOAT SR 30 D;99809175L0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;27/01/2024;20/07/2025;FARMA
KOLLICREAM 3 C;28161715;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;23/03/2024;23/03/2026;FARMA
KOLLICREAM 3 C;29368327;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;02/05/2025;02/05/2027;FARMA
KOLLICREAM CP 15;27461190;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;27/07/2023;26/07/2025;FARMA
KOLLICREAM DO;27467168;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;30/07/2023;29/07/2025;FARMA
KOLLICREAM DO;27467169;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;30/07/2023;29/07/2025;FARMA
KOLLICREAM IPM;27485791;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;06/08/2023;05/08/2025;FARMA
KOLLICREAM OA;28395514;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;10/06/2024;10/06/2025;FARMA
KOLLICREAM OD;28107452;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;08/03/2024;08/03/2026;FARMA
KOLLIDON 12 PF;21259536W0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;15/01/2024;14/01/2027;FARMA
KOLLIDON 25;92018356P0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;01/09/2023;31/08/2027;FARMA
KOLLIDON CL-SF;34338377L0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2750;22/04/2024;22/04/2027;FARMA
KOLLIDON CLM;24362051;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;30/09/2024;30/09/2027;FARMA
KOLLIDON VA 64 FINE;04071416K0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;250;26/12/2024;25/12/2028;FARMA
KOLLIPHOR CS 12;29276178;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;500;24/03/2025;24/03/2027;FARMA
KOLLIPHOR CSL;27517816;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;1000;18/08/2023;17/08/2025;FARMA
KOLLIPHOR CSS;27696289;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;22/10/2023;22/10/2025;FARMA
KOLLIPHOR EL;89669924U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;03/02/2025;03/02/2027;FARMA
KOLLIPHOR HS 15;68313056P0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;1000;26/08/2024;26/08/2026;FARMA
KOLLIPHOR P 188 MICRO;GNH07521WT;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;16/03/2023;15/03/2026;FARMA
KOLLIPHOR P 338;GNG19321C;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;12/07/2022;11/07/2025;FARMA
KOLLIPHOR P 407;GNJ11621B;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;26/04/2025;25/04/2028;FARMA
KOLLIPHOR PS 20;28310598;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;09/05/2024;09/05/2027;FARMA
KOLLIPHOR PS 60;27775389;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;19/11/2023;18/11/2026;FARMA
KOLLIPHOR PS 80;27540058;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;26/08/2023;25/08/2026;FARMA
