Nombre del Producto;Lote;Proveedor;Clases de Peligro SGA PRINCIPAL;Palabra de Señal;Explosivo;Inflamable;Comburente;Gas Bajo Presión;Corrosivo;Toxicidad Aguda;Irritante;Toxicidad Crónica;Tóxico para Medio Ambiente;Peso Total del Bulk (gramos);Fecha Manufactura;Fecha Vencimiento;Línea de Mercado
MICROCELAC 100;L103151725;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;21/04/2025;18/10/2026;FARMA
MIRISTATO DE ISOPROPILO;28592748;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;15/08/2024;15/08/2026;COSMETICA
MYRITOL 318;29148308;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;04/02/2025;29/07/2026;COSMETICA
MYRITOL 331 N;28077127;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2100;28/02/2024;21/08/2025;COSMETICA
NEUTROL TE;80466588Q0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;980;06/11/2023;06/11/2025;COSMETICA
NOVATA B PH;27703826;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1500;25/10/2023;24/10/2025;FARMA
PALMITATO DE ISOPROPILO;28327912;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;20/05/2024;20/05/2026;COSMETICA
PATCH2O A00297;29264800;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;400;20/03/2025;20/03/2027;COSMETICA
PEPTALDE 4.0 BC 10129;24796231;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;180;22/11/2022;22/11/2024;COSMETICA
PILISOFT LS 9760;28639460;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;60;31/05/2024;31/05/2026;COSMETICA
PLANTAPON LC 7;29791879;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;1800;01/11/2025;01/11/2026;COSMETICA
PLANTAPON LGC SORB;29123424;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;100;24/01/2025;18/07/2026;COSMETICA
PLANTAPON LGC SORB;29361771;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;1000;29/04/2025;21/10/2026;COSMETICA
PLANTAPON SF-N;28571936;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;1750;05/08/2024;27/01/2026;COSMETICA
PLANTAPON WW 1000;27986039;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;200;09/07/2024;08/07/2025;COSMETICA
PLANTAPON WW 1000;29355841;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;1500;15/04/2025;15/04/2026;COSMETICA
PLANTAREN 1200 N;29171175;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;400;21/02/2025;21/02/2027;COSMETICA
PLANTAREN 1200 N;29301677;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;1000;10/04/2025;10/04/2027;COSMETICA
PLANTAREN 2000 N UP;29265946;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;1100;29/03/2025;29/03/2027;COSMETICA
PLANTAREN 818 UP;28474409;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;500;18/07/2024;18/07/2026;COSMETICA
PLANTATEX HCC;14755337 PLANTATEX HCC;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;30/12/2021;30/12/2023;INDUSTRIAL
PLANTATEX LLE;29135368;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;800;12/06/2025;12/06/2026;INDUSTRIAL
PLURACARE F 127 NF PRILL SURFACTANT;GNJ00422B;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;04/01/2025;04/01/2028;COSMETICA
PLURAFAC D250;28184410;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;300;22/06/2024;22/06/2026;INDUSTRIAL
PLURAFAC LF 1300;67595556P0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;21/04/2023;10/04/2025;INDUSTRIAL
PLURAFAC LF 221;01014475L0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;100;26/01/2026;26/01/2028;INDUSTRIAL
PLURAFAC LF 401;74545888Q0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;500;06/12/2024;06/12/2026;INDUSTRIAL
PLURAFAC LF 500;29371524U0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;780;27/02/2024;26/02/2026;INDUSTRIAL
PLURONIC L43;28272893;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;24/06/2024;14/06/2026;INDUSTRIAL
PLURONIC L64;27022729;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;11/04/2023;22/06/2025;INDUSTRIAL
PLURONIC PE 6100;58622188Q0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;900;27/03/2025;26/03/2027;INDUSTRIAL
POLIGEN MA;28584753;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;1200;10/06/2025;08/06/2026;INDUSTRIAL
POLIGEN MV 850;29709229;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;26/09/2025;21/09/2026;INDUSTRIAL
POLIGEN WE 1;92368724U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2200;05/08/2025;05/08/2026;INDUSTRIAL
POLYQUART 149 A;29245072;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;Si;900;11/03/2025;07/09/2026;INDUSTRIAL
POLYQUART ECOCLEAN;20587311;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2400;18/03/2019;17/03/2024;INDUSTRIAL
POLYQUART ECOCLEAN MAX A;14437456P0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;700;03/11/2022;02/11/2024;INDUSTRIAL
POLYQUART PN 60;23751216K0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;400;11/07/2024;11/07/2026;INDUSTRIAL
POSTBIOLIFT PW BC 10152;26003381;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;180;03/05/2022;02/05/2024;COSMETICA
PROPYLENCARBONATE S;23039116K0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;500;11/11/2024;11/11/2026;INDUSTRIAL
PROSOLV 730;A7C25E56;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;19/05/2025;19/05/2027;FARMA
PROSOLV RX 90;68091242421;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1200;30/05/2024;30/05/2027;FARMA
PROSOLV SMCC 50;P5S3209;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;26/11/2023;26/11/2028;FARMA
PROSOLV SMCC 50 LD;M5S0013;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;15/03/2020;15/03/2025;FARMA
PROSOLV SMCC 90;P9S0635;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;01/04/2020;01/04/2025;FARMA
PROSOLV SMCC 90 LM;LP9F5080;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;10/02/2025;10/02/2027;FARMA
PROSOLV SMCC HD 90;D9B20A15;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;31/01/2020;31/01/2025;FARMA
PROSOLV SMCC HD 90;D9B21H95;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;6000;13/08/2021;13/08/2026;FARMA
PROTEASYL TP LS 8657;27831811;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;75;25/04/2024;24/04/2025;COSMETICA
PROTEASYL TP POE LS 9818;28389097;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;90;12/06/2024;12/06/2025;COSMETICA
PROTEASYL TP POE LS 9818;29800307;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;270;17/11/2025;17/11/2026;COSMETICA
PROTECTOL PE;90058656P0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;900;01/09/2023;31/08/2025;INDUSTRIAL
PURISOFT PW PSE LS 9836;24094260;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;120;02/10/2020;02/10/2022;COSMETICA
RADIANSKIN PW 9918;24566517;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;75;27/05/2021;27/05/2023;COSMETICA
RAMBUVITAL BC 10059;24330777;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;25;01/04/2021;01/04/2023;COSMETICA
RELIPIDIUM BC 10096;27128540;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;60;12/01/2024;12/01/2025;COSMETICA
RETALAC;L104394500246349;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1;05/05/2025;03/05/2027;FARMA
RETALAC;L104394500262256;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;23/10/2025;22/10/2027;FARMA
RHEOVIS AT 120;17695624U0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;250;17/05/2025;17/05/2026;INDUSTRIAL
RIBOFLAVIN FINE POWDER;RIB3872FP;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;50;20/11/2024;19/11/2028;FARMA
SALCARE SC 96;CR50271707;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;300;27/01/2025;27/07/2026;COSMETICA
SALCARE SUPER 7 AT 1;28102462;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;Si;900;10/03/2024;10/03/2026;COSMETICA
SEANACTIV BC 10113;28712099;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;60;01/02/2024;25/07/2026;COSMETICA
SHADOWNYL;27318879;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;475;14/06/2023;13/06/2024;COSMETICA
SLIM EXCESS A00073;18576329 SLIM EXCESS;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;675;08/10/2017;08/10/2019;COSMETICA
SMARTVECTOR UVCE C00013;27260566;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;475;12/06/2024;06/12/2025;COSMETICA
SOKALAN CP 88;008A241025;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;07/10/2024;07/10/2026;INDUSTRIAL
SOKALAN HP 20;07214616K0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2200;15/05/2021;15/05/2023;INDUSTRIAL
SOKALAN HP 96;45483575L0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;19/03/2024;19/03/2026;INDUSTRIAL
SOKALAN K 30 P;36951109T0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;650;28/02/2022;28/02/2025;INDUSTRIAL
SOKALAN PA 25 CL GRANULADO;50564036W0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;15/12/2023;16/06/2025;INDUSTRIAL
SOLUPRAT DISHES PREMIUM;28843643;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;2000;01/11/2024;25/04/2026;INDUSTRIAL
SOLUPRAT JABON LIQUIDO;25266154;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;900;22/03/2022;22/03/2023;COSMETICA
SOLUPRAT SULFATE FREE;28757763;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;2000;11/10/2024;12/04/2026;COSMETICA
SORBOLAC 400;L103841025;MEGGLE;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;09/03/2025;27/02/2028;FARMA
SPHINGOCERYL VEG LS 9948;28626669;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;28/08/2024;28/08/2025;COSMETICA
STARLAC;L104260824;MEGGLE;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;3000;19/02/2024;14/02/2027;FARMA
SULFOPON 1216 G;28348798;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;400;25/05/2024;25/05/2026;INDUSTRIAL
TABLETOSE 100;L104291825;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;4000;28/04/2025;19/04/2027;FARMA
TABLETOSE 70;L104051325;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;24/03/2025;19/03/2028;FARMA
TABLETOSE 80;L104311724;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;22/04/2024;12/04/2027;FARMA
TETRONIC 901;28273083;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;08/07/2024;08/07/2026;INDUSTRIAL
TEXAPON K 12 G;23739948;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;720;14/12/2020;14/12/2022;COSMETICA
TEXAPON K 12 P;29264728;BASF;Inflamable;PELIGRO;No;Si;No;No;Si;No;Si;No;No;700;19/03/2025;19/03/2027;COSMETICA
TEXAPON SB 3 KC;29767703;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;900;21/10/2025;22/04/2026;COSMETICA
TEXAPON V 95 G;26838544;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;1000;10/01/2023;09/01/2025;COSMETICA
TINOGARD Q;29124575;BASF;Inflamable;ATENCIÓN;No;Si;No;No;No;No;No;No;No;950;18/02/2025;12/08/2026;COSMETICA
TINOGARD TT;29120883;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;10/02/2025;15/01/2030;COSMETICA
TINOMAX CC;01242629U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;490;30/01/2023;29/01/2025;COSMETICA
TINOPAL CBS-X;27187295;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;500;01/05/2023;04/04/2028;INDUSTRIAL
TINOPAL CBS-X;27367380;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;40;27/06/2023;31/05/2028;INDUSTRIAL
TINOSAN HP 100;SHDC15825;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;1300;31/05/2025;21/05/2027;INDUSTRIAL
TINOSORB A2B;42379197V0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;450;25/10/2023;25/10/2025;COSMETICA
TINOSORB A2B;47064124U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;300;04/09/2024;04/09/2026;COSMETICA
TINOSORB M;28444056;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;09/07/2024;09/07/2026;COSMETICA
TINOSORB S;28408516;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;300;14/06/2024;13/06/2029;COSMETICA
TINOSORB S;29112439;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;23/01/2025;22/01/2030;COSMETICA
TINOSORB S AQUA;27023098;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;02/03/2023;01/03/2025;COSMETICA
TINOVIS GTC UP;28549280;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1100;05/08/2024;04/02/2026;COSMETICA
TRICHOGEN VEG BC 10164;29017301;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;150;12/12/2024;12/12/2026;COSMETICA
TRICHOGEN VEG LS 8960;28785490;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;400;15/10/2024;15/10/2026;COSMETICA
TRICHOLASTYL LS 9912;27199146;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;03/05/2023;02/05/2025;COSMETICA
TRILON B POLVO;2,26E+07;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;No;1400;11/12/2024;09/06/2026;INDUSTRIAL
TRILON BS POWDER;00361F1731;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;Si;No;1000;18/06/2023;17/06/2026;INDUSTRIAL
TRILON G;2419934HOC;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;08/12/2023;07/12/2026;INDUSTRIAL
TRILON M GRANULADO;95198936W0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;26/07/2021;25/01/2025;INDUSTRIAL
TRILON M MAX BIOBASED G;12178375L0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;06/03/2025;05/03/2028;INDUSTRIAL
TRILON M POLVO;80852175L0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;04/04/2022;04/04/2023;INDUSTRIAL
TURMERIC RHIZOME PE 95% CURCUMINOIDS HPLC;HS00015374;GIVAUDAN INTERNATIONAL;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;15;12/10/2023;09/10/2025;FARMA
TURMERIC RHIZOME PE 95% CURCUMINOIDS HPLC;HS00016241;GIVAUDAN INTERNATIONAL;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;15;04/12/2023;01/12/2025;FARMA
ULTRA FILLING SPHERES;28638217;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;75;10/07/2025;04/01/2027;COSMETICA
UVINUL A PLUS B;51393488Q0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;Si;400;31/01/2023;31/01/2026;COSMETICA
UVINUL A PLUS GRANULAR;67170116K0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;19/02/2024;18/02/2027;COSMETICA
UVINUL A PLUS GRANULAR;K25213U011;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;13/02/2025;13/02/2028;COSMETICA
UVINUL A PLUS GRANULAR;K25214U011;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;14/02/2025;14/02/2028;COSMETICA
UVINUL MC 80;40961516K0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;30/09/2023;30/09/2026;COSMETICA
UVINUL T 150;235068P050;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;200;31/10/2023;31/10/2026;COSMETICA
UVINUL T 150;245042P050;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;06/02/2024;05/02/2027;COSMETICA
VERDESSENCE ALGINATE;29859447G0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;90;29/03/2022;29/03/2023;COSMETICA
VERDESSENCE GLUCOMANNAN;2102991209;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;30;10/02/2022;10/02/2025;COSMETICA
VERDESSENCE GLUCOMANNAN;2022070901;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;470;09/07/2022;08/07/2025;COSMETICA
VERDESSENCE GLUCOMANNAN;92982188Q0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;970;10/03/2025;09/09/2026;COSMETICA
VERDESSENCE RICE TOUCH;2306193170;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;300;19/06/2023;18/06/2026;COSMETICA
VERDESSENCE TARA;9405301025;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;770;30/10/2025;01/05/2027;COSMETICA
VERDESSENCE XANTHAN;01052429U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1160;10/04/2023;09/04/2026;COSMETICA
VITACEL CS 20 FC;71287230302;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;30/03/2023;30/03/2028;COSMETICA
VITACEL CS 30 OAT;7848230115;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;31/01/2023;31/01/2028;COSMETICA
VITACEL CS 5 APPLE;7828181019 VITACEL CS 5 APPLE;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;700;01/10/2018;01/10/2020;COSMETICA
VITAMINA E ACETATO CARE;99582624U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;650;05/06/2024;05/06/2026;COSMETICA
VIVAPHARM HPMC E 5;81005234042;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;01/10/2023;01/10/2026;FARMA
VIVAPHARM HPMC E 50;21834/25;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;300;01/04/2025;01/04/2028;FARMA
VIVAPHARM PVA 05 FINE;20PX04 X;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;01/05/2021;30/04/2024;FARMA
VIVAPHARM PVA 05 FINE;23O104;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;01/01/2023;01/01/2028;FARMA
VIVAPHARM PVPP XL;50821006;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1200;30/08/2021;30/08/2024;FARMA
VIVAPUR 101;66101230201;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;31/01/2023;30/01/2028;FARMA
VIVAPUR 105;6610518081 VIVAPUR 105;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;30/05/2021;30/05/2023;FARMA
VIVAPUR 105;7995250903;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;30/09/2025;30/09/2030;FARMA
VIVAPUR 112;56112240405;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;01/01/2024;01/01/2027;FARMA
VIVAPUR 14;66014230337;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;01/09/2023;01/09/2026;FARMA
VIVAPUR 200;56200191848;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1600;30/11/2019;30/11/2024;FARMA
VIVAPUR 302;56302210329;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;01/07/2021;01/07/2026;FARMA
VIVAPUR CS 150 CHARCOAL;54150210116;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;30/04/2021;30/04/2026;COSMETICA
VIVAPUR CS 9 FM;32101240410;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;10/04/2024;10/04/2029;COSMETICA
VIVAPUR CS 9 FM;32101250303;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;30/03/2025;30/03/2030;COSMETICA
VIVAPUR CS SENSORY 15 S;32440021032;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;25;30/11/2020;30/11/2025;COSMETICA
VIVAPUR CS TEX SUN;39026031801;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;200;30/11/2023;30/11/2027;COSMETICA
VIVAPUR CS TEX SUN;39026031801;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;575;30/11/2023;30/11/2027;COSMETICA
VIVAPUR MCG 591 P;38591250624;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1200;01/06/2025;01/06/2028;FARMA
VIVAPUR MCG 611 P;38611221120;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;01/11/2022;01/11/2025;FARMA
VIVAPUR MCG 811 P;33811240117;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;01/01/2024;01/01/2028;FARMA
VIVASTAR CS 302 SV;2344554002 VIVASTAR CS 302 SV;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;250;30/11/2023;30/11/2025;COSMETICA
VIVASTAR CS 352 SV;2131571006 VIVASTAR CS 352 SV;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;90;01/03/2025;01/03/2027;COSMETICA
Z COTE HP 1;CNVL0802;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;100;08/12/2022;07/12/2025;COSMETICA
Z COTE HP 1;CNWD2002;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;500;20/04/2023;19/04/2026;COSMETICA
Z COTE SHEER;RTVL0981;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;300;02/08/2024;02/07/2026;COSMETICA
ZINC OXIDE;25AZOXF004;SUDEEP;Sin Riesgo;PELIGRO;No;No;No;No;No;No;No;No;Si;1000;01/01/2025;01/12/2027;FARMA
ZINC SULPHATE MONOHYDRATE;25AZSMF001;SUDEEP;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;03/01/2025;01/12/2029;FARMA
